username,user id,access hash,name,group,group id
Temu16T,5663688881,-8075308571163334367,Temu ..-..,Ics Ethiopia Official,1402685026
Mercynebiyyu,753119096,-5119472156684434801,Faty,Ics Ethiopia Official,1402685026
,621558817,3981858663599154529,Ethiwbut,Ics Ethiopia Official,1402685026
TimeToRilax,5452842316,-553112696542554380,𝖘𝖊𝖑𝖆....!,Ics Ethiopia Official,1402685026
,649010895,-4858194921355967657,Tadesse H,Ics Ethiopia Official,1402685026
,420727617,6698734554688440064,Honey Honey,Ics Ethiopia Official,1402685026
amex120,786365004,2320299318998689702,Amex Kas,Ics Ethiopia Official,1402685026
,6926450300,-8063238461076982420,Kako,Ics Ethiopia Official,1402685026
RASTFARIAN,551189632,-6534444159701400349,Fasika boj Yilma,Ics Ethiopia Official,1402685026
,740520177,-8917087079079083707,M Y,Ics Ethiopia Official,1402685026
,6104262575,6871783365271999401,Muhammed,Ics Ethiopia Official,1402685026
Gani109,1130436720,3130168969049827405,Genet,Ics Ethiopia Official,1402685026
,5588989061,-7325438515453903482,M. T M. T,Ics Ethiopia Official,1402685026
Megu45,1096491262,-1533831627162804727,Megobgnet,Ics Ethiopia Official,1402685026
ReduBL123,494803630,506709845964237729,Rediet Birhanu,Ics Ethiopia Official,1402685026
,994345153,-3341103095129427664,Dave,Ics Ethiopia Official,1402685026
,1314009605,-3185024091600750321,Ibsa,Ics Ethiopia Official,1402685026
,5405592654,5444304775914369913,Buni Kenedo,Ics Ethiopia Official,1402685026
,6851430213,4970266540792880396,مبارك مستفا,Ics Ethiopia Official,1402685026
,6080780846,7173639311373441940,ASCHALEW Adise,Ics Ethiopia Official,1402685026
Heru_na,5560631980,-1563955088284477700,Herina,Ics Ethiopia Official,1402685026
,746060999,3141963958595279016,Özil Özil,Ics Ethiopia Official,1402685026
,5644956643,2449001175162547454,Warqu Best,Ics Ethiopia Official,1402685026
,1447528948,510240591043793375,Wakile Tasisa,Ics Ethiopia Official,1402685026
,1402761920,3561044628865454371,Hopefully,Ics Ethiopia Official,1402685026
YoniThe2nd,6209333185,6391869873077146380,Yoni Yoni......,Ics Ethiopia Official,1402685026
AJ120289,5415673576,-4393560752612300962,No Name,Ics Ethiopia Official,1402685026
obsamucaofii,988161047,4244873180549069104,Biyyi abbaa biyyaatin tolaa Warra abbaa biyyaati nuttii kan gizeen nu fiddee mittii,Ics Ethiopia Official,1402685026
,5515564703,-1485624820026748028,Kube Jima,Ics Ethiopia Official,1402685026
Danies,543473741,3844265790739679383,Dani,Ics Ethiopia Official,1402685026
,6738228100,239282874663514018,Rijal Aliyi,Ics Ethiopia Official,1402685026
hoppello,1144061650,-5336512525548896736,TESFAW TEMESGEN,Ics Ethiopia Official,1402685026
,6359318934,1310392995154045750,Nuri Zakir,Ics Ethiopia Official,1402685026
,5912740120,1827024121635543821,Umar Abdi,Ics Ethiopia Official,1402685026
,1444400607,4345589081695679579,X,Ics Ethiopia Official,1402685026
,937843849,540898329014293621,Meb,Ics Ethiopia Official,1402685026
,6019291255,-5432912957984528245,Merhun,Ics Ethiopia Official,1402685026
,792804386,755784559501802237,koke koke,Ics Ethiopia Official,1402685026
